,TICKER,R-squared,Adj. R-squared,const,mktrf,smb,hml
0,B,0.4449679627451314,0.4152341036064777,-0.007042637359842065,1.0050249489026177,0.5754410805169006,0.4678121635085758
1,BA,0.37370900812877816,0.34015770499281983,0.0004220402718243476,1.288970780560308,0.320766014132101,0.8567638216859942
2,BAC,0.8302290424543082,0.8211341697286461,0.00420694825838628,1.297279274177726,-0.11108139687008861,0.9484967519029022
3,BAH,0.33347703183801525,0.2977704442579089,0.002266595512374292,0.7646769041416948,-0.24129290853764646,-0.48600937280829243
4,BAM,0.5640231279466281,0.540667224086626,0.005898089882771797,1.192238158698063,-0.02513603659953187,0.363741763421368
5,BANC,0.646650572668853,0.6277211390618271,-0.0012396943565842547,1.2308411089753843,1.6232045290600488,0.7728958453594608
6,BANF,0.772221721910012,0.7600193141551912,0.004912255087354828,1.0458770249224874,0.6189798284255844,1.0920384773654481
7,BANR,0.6582977959215326,0.6399923207030432,0.0015473286241014638,0.8435509709062028,0.7126350418581795,0.9158935453148555
8,BATRA,0.45900973347831686,0.43002811205751235,-0.0007868541265919193,0.725184159466397,0.7699885718599273,0.2872560736590824
9,BATRK,0.4691822467715395,0.44074558142001485,-0.0017213418556810158,0.7390954375995298,0.7469908460871404,0.25924232064075525
10,BAX,0.22783451728944015,0.1864685092870887,0.001946587964910455,0.66622809071246,-0.26672551198459704,-0.20215371466266208
11,BBBY,0.29062138970329743,0.2526189641516884,-0.004555743488982941,1.1410788015364135,3.507934252456493,0.27817060472059896
12,BBSI,0.4770612738198965,0.44904669920310525,-0.005429477412528639,1.2615805371769815,0.5226462476105249,0.6660419225523536
13,BBY,0.45575079234917504,0.4265945847964523,0.0006674860285487676,1.4951087171463384,-0.13684974399353847,0.14399040643020833
14,BC,0.6142786353397418,0.5936149908043709,-0.0014309787130182255,1.4468409495218246,0.9685953221104883,0.372144439990299
15,BCC,0.48433140093991367,0.4567062974188376,0.009406702046479854,1.6082446280794354,0.45732980080986846,0.41294673154254935
16,BCLI,0.041347251400804974,-0.010009145845580436,0.02286907563209639,-0.10929983750874842,1.2444995620535855,-0.9803710589426409
17,BCO,0.43562517844453863,0.40539081300406743,-0.00032002993605268794,1.4082160993174582,0.5811773359238681,0.6877837529199563
18,BCOR,0.4226189040314404,0.39168777389026754,-0.005309086375762932,1.3372245702864882,1.5347038495952883,0.35924441110756256
19,BCOV,0.16433682974152986,0.11956915990625461,0.009662147074100843,0.45387954567061145,1.378315995485615,0.5280575934039442
20,BCPC,0.15102350966414368,0.10554262625329425,0.007626404587619705,0.4775014191146578,0.23198045617063268,0.12266368169763177
21,BCRX,0.39393868648553954,0.3614711161186934,0.010119876526316034,1.9747141890546407,2.7787257071573332,0.4419252777224955
22,BDC,0.3587824196883328,0.3244314778859221,-0.010634663983001917,1.1428087425433282,0.7553302423528041,0.30751289979592034
23,BDN,0.5087708254835632,0.48245497684875405,-0.008624369998118855,1.0223164826871052,0.12228094774870939,0.4351816261135658
24,BDSI,0.08930640521731859,0.04051924835396059,0.007623284427565382,0.7391699214604459,0.7024102428971709,-0.09250072013492616
25,BDX,0.27132994407370603,0.2322940482205117,-0.002497153561755735,0.7345445821711578,-0.2711021931724009,-0.14368685847212478
26,BECN,0.6356095014638891,0.6160885818994546,-0.007835411044025308,1.7746674262200721,0.08860058189897918,0.9714802163874662
27,BELFB,0.31410598147029434,0.27736165904906007,-0.012879845804139745,1.213069580300506,1.1857517605329055,0.8753939947321387
28,BEN,0.5540764794168753,0.5301877193856365,-0.0040788340381004776,0.9712035273663472,0.15709049267255368,0.8174290633198057
29,BERY,0.5025820497922392,0.47593465960253767,-0.006575975487582032,1.282719197133324,-0.5694223535244347,0.3247124869714669
30,BFAM,0.23921423236618122,0.19845785195722665,0.0005170267495708068,0.9011877292849486,0.27103832744242473,-0.008885018170370462
31,BFIN,0.32943147039325915,0.29350815630718374,-0.003913673858953259,0.4364314304523576,0.5762159277249883,0.5149332216857574
32,BFS,0.49890950577363213,0.4720653721543624,-0.004098095957422889,0.8636901578765178,0.4498765051537094,0.7725563205880723
33,BG,0.2884648723848853,0.2503469191197898,0.007138529106070643,0.5234170435683266,-0.21485587948971857,0.8211875404360374
34,BGCP,0.6071834568720786,0.5861397134902258,-0.0029916702052707536,1.4385777810729188,0.6434238602306654,1.4399522899708028
35,BGSF,0.4577847115424194,0.4287374639464776,-0.009150683427551102,1.9992699795788833,1.2886723239978284,0.4997455355869632
36,BHB,0.46026940260558613,0.43135526345945685,0.0016310881732964628,0.577822176506225,1.0704342124528266,0.782765955381985
37,BHE,0.4375722479897505,0.4074421898463443,-0.0023611049048522905,0.7462471461194914,0.8797896039949733,0.7224392860793384
38,BHLB,0.5394965620243233,0.514826734989912,0.00805137656779827,0.6634911207044114,1.2285302271084664,1.679521999464852
39,BIG,0.32768430667189385,0.29166739452931667,-0.016089114811202378,2.0496030190389227,0.8194248819040969,-0.16869189008973307
40,BIIB,0.0858012254489724,0.03682629109802449,-0.006699571773382191,0.4203191381624082,0.572605611192116,-0.46614774791829305
41,BJRI,0.4124036800400376,0.3809253057564681,-0.009706525256675112,1.8152479040348783,1.266761404753777,0.5955647143368591
42,BK,0.6500421609244438,0.6312944195453961,-0.0033480011967186737,1.0287599884751486,-0.09916093835784694,0.6201771274239471
43,BKE,0.3921625663650544,0.3595998467060395,0.02415689954852823,0.6144898295506817,2.233469769339365,0.555857954442764
44,BKH,0.14943862563743315,0.10387283772515277,0.001329371684486962,0.41187715348112386,-0.19277997465719676,0.229627704249135
