at,sale,gsector
1254.178,237.688,50
12890,1598,60
33049,17224,40
5777,7188,20
5521.089,4583.66,25
12089.7,5601.3,30
52626.8,19207.8,25
1275.744,572.554,20
12537,7442,40
65015,238228,35
171.094,77.42,20
93083,30117,35
230715,268399,35
91588,47994,35
5510.1,2848.6,50
160.718,235.802,20
1372.987,54.872,40
53678,21435,45
58239.212,10113.636,55
976.47,141.592,55
1872.484,1348.223,20
47344,32184,20
6084.6,1169.1,55
1276.7,1808.4,25
1939.783,178.262,60
1871.164,1661.668,35
10876,7414,45
10620.852,1954.37,10
400.015,510.369,15
61553,11946,35
2819627,93753,40
8414,6207,45
548.15,114.537,20
105.838,101.359,45
6964.935,1546.291,55
1362.132,977.928,35
27106,17640,35
381.776,473.107,20
433.17,354.7,20
249.498,385.205,30
5569.802,1953.668,55
2307.689,1783.639,50
14700,9385,25
41369,11497,15
709.192,492.625,10
3674.656,2121.1,20
9538,10715,25
37962,9789,20
476.179,128.432,10
719.257,506.397,25
46099.598,8904.43,55
22040.5,4681.7,55
53957,11526,55
170003.9,6301.1,40
44469,36799,20
3031.8,3076.4,20
3756.379,773.679,55
6389.449,1198.67,55
1955163,80303,40
20125.394,20139.658,15
80064,17809,10
2045.842,1827.889,10
1992.27,1178.062,10
44464,10790,55
235.882,283.227,30
10718.8,2122.3,55
8270.9,5758,15
776.137,82.128,60
23078.754,8542.242,10
2578.354,890.107,55
1231.737,418.692,10
3335.639,8480.177,35
9481,7055,20
8882,6103,15
865.634,762.857,25
466679,18262,40
19556,13841,15
28260,18728.5,20
97856,18469,55
66623,11370,55
343.749,213.786,45
163.512,46.276,20
1300.5,1295.2,20
19738.189,13695.52,20
1753.435,2486.597,25
205.077,93.826,10
73566,7811,40
907.326,273.25,10
48116,7607,55
4197.2,3017.8,20
92918,70372,30
5045.617,5318.763,20
5237.973,1339.226,10
154229,41908,35
129317,33039,55
13705.277,1485.702,55
47414,20841,30
62618,18784,10
13293.5,7132.6,25
189.873,137.176,45
1997.14,1252.658,40
5220.137,3554.075,20
2664.269,1727.607,45
2381.065,1040.93,60
472.278,518.499,20
120700,70950,30
7939.854,1523.012,55
50050,9603,55
12205.498,11036.082,25
89.761,32.131,55
602.63,392.206,20
2891.834,1417.677,15
644.486,556.821,35
47482,8168,40
790.505,598.302,10
279.098,160.704,15
409.371,348.359,20
4589,2907,20
1342.794,669.729,25
9887.2,20390,25
9335.404,24043.24,30
281.68,63.075,55
7264.7,6329.8,20
1264.005,802.583,45
1845.9,2161.22,20
12717.867,12531.565,25
2766.287,498.819,15
12931.954,8420.091,20
2167.256,1684.058,40
3311.465,564.526,55
42434,23601,10
6399,7126,30
260.369,313.579,45
6083.8,4903.2,15
121.296,103.973,35
1082.102,595.117,45
14515.425,3511.509,25
2031.707,220.775,50
20401.6,18361.7,15
3160.7,2895.3,20
16284.2,8002.7,30
6557.3,3942.2,20
170336,7337,40
5277.259,5237.443,15
6689.148,1541.383,55
69372,13578,55
1791.603,488.243,55
122935,20375,55
34588,9048,20
8735.853,3298.873,55
525761,171760,50
5160,2308,10
359.049,675.973,20
257.416,163.46,35
956.54,1128.588,25
930.878,604.535,20
23566.3,14534.6,20
314706,12078,40
1752.336,1869.75,15
1978.575,2284.932,40
11816.546,3017.888,60
34330,14351,35
87412,3990,40
348.258,569.682,25
393.924,526.697,25
22628.266,52893.31,30
730.975,852.539,20
536.349,37.83,60
4034.9,2982.1,15
7152.559,2537.156,35
12525,5225,50
1082.6,1001,20
11852,15379,25
3652.346,3121.469,45
19351,14461,45
15443,11651,20
69052,32218,35
5771.46,8167.933,25
1251.177,397.038,10
2772.691,356.575,25
5041.6,3513.2,20
984.558,471.063,30
29046.731,4738.555,40
2853.228,3379.89,20
132.116,173.335,20
8701.8,1999.4,20
2607.274,1116.663,45
34456,43185,30
59548,15355,20
13985,6559,55
474.162,606.509,25
2199.027,1804.159,20
32030,5794,55
62398,19533,20
9637.533,1266.283,60
197289,257141,35
33127.504,1368.655,40
1087.214,158.854,60
62408,84628,20
162153,56587,20
7984,2724,25
1477.9,418.6,55
1740.86,1332.001,15
2341.924,1983.357,30
13476.879,11145.897,35
111.745,42.198,35
13754.029,9238.83,25
780.081,661.659,20
2953.16,2895.355,20
898.064,454.163,45
915.546,1804.594,30
3154.473,2501.898,45
16221.822,980.382,60
11686.905,4856.826,15
362.637,408.498,30
252496,556933,30
87174,139537,30
6444.119,2883.421,25
2409.818,294.118,60
6402.097,1321.891,55
2484.347,5054.928,20
3961.4,515.666,60
1820.421,4112.601,30
2793.8,2146.9,35
25662,16736,45
256.719,195.375,25
16311,7532,60
20350,19456,25
44165,7719,10
4661.424,6783.189,25
1713.7,2355.533,25
37028.1,7241.7,55
17710,3416,55
2137.4,1791.1,25
3903.336,2495.665,20
7043,7548,25
14741,7022,45
406.957,53.852,55
5107.3,3964.2,30
30813.555,32136.962,25
81479,2942,40
5815.9,6856.8,20
4831.4,678.4,40
736.819,362.963,45
2036,314.1,60
26604.254,3817.839,40
14469,6087,10
2298.031,2796.166,25
2428.474,1697.067,45
33419.783,1419.447,40
2166.666,433.283,40
509228,24433,40
40686.076,1566.751,40
20838.678,791.971,40
681.792,1036.842,30
3350.072,153.16,40
1067.289,58.899,60
4037.257,6199.186,25
1115862,52047,40
10659,6206.7,40
7637.844,691.571,60
301311,143015,45
16728.8,4717.8,30
1902.887,366.26,35
848.2,1024.4,20
2156.676,2372.178,20
1636.514,1744.014,20
12010.601,4054.377,25
6887.622,2127.106,20
11065.733,7223.129,25
9069,2145,55
405.261,253.667,35
7315.967,4099.403,45
1738.2,1508.6,20
5777.141,7566.04,25
4500.3,20358.3,10
95.297,93.075,45
33376.66,9894.642,50
24284,12868,45
1037.324,160.555,60
238.575,49.942,50
6445.9,4644.4,35
35339.9,3821.1,40
2643.045,3046.345,25
831.636,874.374,20
74619,14852,45
5356.442,4183.174,25
151.198,10,35
74.111,27.711,35
70625.8,13162.8,40
7474.497,12091.901,30
4283.222,1642.375,20
1056.553,1022.038,30
951.176,645.262,20
7521.096,5505.788,35
55.582,29.698,35
41710.054,9739.496,40
454.472,171.721,35
536.36,23.583,60
2289.848,3390.394,45
1899.299,4610.609,30
54394.159,2308.608,40
1786.657,1071.84,35
1906.494,1021.506,25
15920.089,1578.276,60
8405.25,186.594,40
1188.182,609.691,45
1849.031,3564.267,30
64098.3,42638.1,40
3938.485,983.626,40
550.818,563.605,25
3950.785,2682.891,45
1419.81,523.833,10
2713.903,1198.667,40
1569.853,625.609,45
53593,5595,25
9111.394,1006.863,60
5751,256,40
3900.106,518.207,60
5202.474,2513.257,20
3277.671,87.506,60
494.009,79.716,60
1494.359,847.522,35
1751.673,862.459,35
9342,3342,35
52663,25285,50
13609,6687,35
353.556,88.638,35
1606.24,1294.562,45
24165,2733,40
546.026,594.209,25
1343.409,1541.137,30
549009,12109,40
4131.52,3144.097,20
1549.936,900.61,20
79.716,70.117,45
169.154,101.31,45
25906.733,972.266,40
24081.194,1135.997,40
3964.7,5647.3,20
6747.931,211.493,40
3629.303,2191.395,45
3076.1,5541.8,30
142502.134,4506.906,40
12327.3,8598.9,45
890.145,539.009,30
4632.7,7025,25
580.489,312.69,35
19229,7024,10
9681,4037,50
9328.2,18001,20
282.925,236.408,40
3087.754,403.495,40
36494.934,5162.082,25
29345,15218,20
123415,94224,45
4859.386,1857.478,50
213.804,107.983,40
5234.714,2380.071,45
42144,14198,15
5558,9710,25
3864.398,4501.217,25
1722.472,1467.592,10
28606.913,8044.672,40
27542,7536,40
22815.2,7165.9,40
366.575,395.521,30
733.055,557.24,45
9912,4828,10
570.526,474.692,20
20071.7,13995.5,35
8718.411,4317.996,45
6932.3,197.23,40
1950.04,193.516,60
4861.808,560.575,60
24355.501,519.837,40
7316.411,366.92,40
51774,60115,10
1193.88,769.97,20
4414.398,2351.646,20
1528.568,2398.043,20
47802.487,2267.008,40
10465.8,1871.5,40
2027.589,738.691,35
8966.492,2613.375,40
573.28,222.99,45
514.87,755.29,15
6178.9,5226.9,25
176.853,46.924,35
6361,2556,45
660.818,1451.767,25
150565,45784,35
1151.962,899.567,40
6897.4,1033.5,60
1100.906,93.73,60
1800.702,811.02,45
63091.8,2231.8,40
486.132,122.473,35
180518,7649,40
1830.614,1369.23,45
950.751,1001.15,35
13198.6,17045.5,25
35804.601,11017.977,10
1965.718,5474.838,20
449.724,218.478,45
11932.654,419.138,40
680.067,408.12,45
7737.995,6129.32,25
3688.636,144.554,40
1257.635,96.868,40
5432.022,249.652,40
6594.583,257.616,40
528.682,279.271,45
2160.52,777.819,40
13288,5629,50
2021.126,1031.292,25
6358.834,168.136,40
1843.42,238.856,40
7289.751,319.03,40
5758.64,243.102,40
13931.094,617.276,40
18793.071,804.114,40
18504.206,797.531,40
14067.21,558.434,40
607.439,198.321,35
13204.301,511.432,40
4204.013,220.574,40
2857.093,115.336,40
9826.011,590.426,40
1414.855,70.872,40
32081,8040,50
107.289,59.253,20
6328.246,3923.011,40
14648.27,690.542,40
22960.622,902.582,40
355.072,132.299,35
4760.764,220.776,40
9687.913,2895.352,40
115511.007,4081.758,40
1083.156,442.841,40
14333.914,715.43,40
18794.055,690.46,40
32590.69,1287.326,40
16425.61,669.462,40
2555.362,105.224,40
8342.392,348.605,40
15973.134,714.086,40
234.829,48.087,35
2834.546,587.486,10
7622.171,328.19,40
5901.796,195.458,40
26184.247,1149.179,40
3069.678,1068.627,40
881.175,659.296,20
31597.795,3977.148,40
593.218,88.141,55
3050.01,112.683,40
17753.476,696.569,40
4729.399,195.226,40
320.29,161.056,45
3026.535,151.83,40
1916.971,403.475,60
9593.625,1182.836,60
207.673,42.22,35
501.845,151.184,50
9896.816,274.3,40
2162.199,91.605,40
7547.339,322.6,40
3459.067,234.87,40
473.573,15.762,35
180.661,145.072,45
200162,68397,50
4551.789,211.828,40
2279.451,88.031,40
33252.114,702.802,40
24564,11359,35
2806.404,6468.759,30
816.901,390.358,10
1781.252,250.734,35
2845.093,3161.192,25
544.195,117.316,35
13576.8,8435.9,45
2239.1,101.673,40
5065.735,151.185,40
14261,9008,50
353.631,393.655,25
37354,1436.655,40
4951.174,330.135,60
4413.95,436.248,60
852.952,203.196,35
353.258,227.547,35
1699.51,64.164,40
461.19,208.475,35
9068.104,395.685,40
1821.481,69.994,40
4557.544,202.961,40
752.008,220.058,10
10592,1199,55
48887.493,8108.462,40
4069.141,145.302,40
12423,22885,30
314.587,103.178,35
1286.561,890.554,25
10544.047,444.863,40
8342.147,1057.947,60
1535.038,60.183,40
3013.771,245.473,40
3725.594,881.792,40
13150.845,3491.699,10
3245.882,940.584,45
1734.897,211.698,60
2685.7,9504.3,25
932.337,92.523,35
5886.614,269.235,40
2251.258,644.338,25
362.372,268.141,45
622.457,31.434,35
480.805,234.623,45
3898.572,537.326,60
557.392,266.001,60
2948.515,1299.592,35
1288.767,814.139,45
1826.087,2367.929,25
2184.597,1183.657,45
378.743,104.883,35
6781.092,5763.98,25
5723,7056,20
3046.067,1465.069,35
3382.738,1458.415,45
5830.435,239.946,40
5202.724,955.154,40
402.045,83.138,35
9034.368,1153.734,60
1078.469,990.088,25
13379.09,3716.349,50
242.187,1798.285,60
142.832,10.163,35
4006.033,1992.523,35
716.415,498.83,35
313.05,105.893,35
703.244,122.694,35
457.163,117.483,35
779.122,716.906,60
103.415,66.499,35
555.482,292.689,45
3256.431,5446.591,25
10932.906,494.558,40
1186.932,55.611,40
1759.555,271.03,35
3040.837,141.645,40
271.157,135.082,35
1834.643,74.806,40
